"country","year","sex","age","suicides_no","population","gdp_for_year","gdp_per_capita","generation","continent","life_idx","edu_idx","income_idx"
"Albania",1987,"Male","15-24",21,312900,2156624900,796,"Generation X","Europe",NA,NA,NA
"Albania",1987,"Male","35-54",16,308000,2156624900,796,"Silent","Europe",NA,NA,NA
"Albania",1987,"Female","15-24",14,289700,2156624900,796,"Generation X","Europe",NA,NA,NA
"Albania",1987,"Male","75+",1,21800,2156624900,796,"G.I. Generation","Europe",NA,NA,NA
"Albania",1987,"Male","25-34",9,274300,2156624900,796,"Boomers","Europe",NA,NA,NA
"Albania",1987,"Female","75+",1,35600,2156624900,796,"G.I. Generation","Europe",NA,NA,NA
"Albania",1987,"Female","35-54",6,278800,2156624900,796,"Silent","Europe",NA,NA,NA
"Albania",1987,"Female","25-34",4,257200,2156624900,796,"Boomers","Europe",NA,NA,NA
"Albania",1987,"Male","55-74",1,137500,2156624900,796,"G.I. Generation","Europe",NA,NA,NA
"Albania",1987,"Female","5-14",0,311000,2156624900,796,"Generation X","Europe",NA,NA,NA
"Albania",1987,"Female","55-74",0,144600,2156624900,796,"G.I. Generation","Europe",NA,NA,NA
"Albania",1987,"Male","5-14",0,338200,2156624900,796,"Generation X","Europe",NA,NA,NA
"Albania",1988,"Female","75+",2,36400,2.126e+09,769,"G.I. Generation","Europe",NA,NA,NA
"Albania",1988,"Male","15-24",17,319200,2.126e+09,769,"Generation X","Europe",NA,NA,NA
"Albania",1988,"Male","75+",1,22300,2.126e+09,769,"G.I. Generation","Europe",NA,NA,NA
"Albania",1988,"Male","35-54",14,314100,2.126e+09,769,"Silent","Europe",NA,NA,NA
"Albania",1988,"Male","55-74",4,140200,2.126e+09,769,"G.I. Generation","Europe",NA,NA,NA
"Albania",1988,"Female","15-24",8,295600,2.126e+09,769,"Generation X","Europe",NA,NA,NA
"Albania",1988,"Female","55-74",3,147500,2.126e+09,769,"G.I. Generation","Europe",NA,NA,NA
"Albania",1988,"Female","25-34",5,262400,2.126e+09,769,"Boomers","Europe",NA,NA,NA
"Albania",1988,"Male","25-34",5,279900,2.126e+09,769,"Boomers","Europe",NA,NA,NA
"Albania",1988,"Female","35-54",4,284500,2.126e+09,769,"Silent","Europe",NA,NA,NA
"Albania",1988,"Female","5-14",0,317200,2.126e+09,769,"Generation X","Europe",NA,NA,NA
"Albania",1988,"Male","5-14",0,345000,2.126e+09,769,"Generation X","Europe",NA,NA,NA
"Albania",1989,"Male","75+",2,22500,2335124988,833,"G.I. Generation","Europe",NA,NA,NA
"Albania",1989,"Male","25-34",18,283600,2335124988,833,"Boomers","Europe",NA,NA,NA
"Albania",1989,"Male","35-54",15,318400,2335124988,833,"Silent","Europe",NA,NA,NA
"Albania",1989,"Male","55-74",6,142100,2335124988,833,"G.I. Generation","Europe",NA,NA,NA
"Albania",1989,"Male","15-24",12,323500,2335124988,833,"Generation X","Europe",NA,NA,NA
"Albania",1989,"Female","35-54",7,288600,2335124988,833,"Silent","Europe",NA,NA,NA
"Albania",1989,"Female","15-24",5,299900,2335124988,833,"Generation X","Europe",NA,NA,NA
"Albania",1989,"Female","25-34",2,266300,2335124988,833,"Boomers","Europe",NA,NA,NA
"Albania",1989,"Female","55-74",1,149600,2335124988,833,"G.I. Generation","Europe",NA,NA,NA
"Albania",1989,"Female","5-14",0,321900,2335124988,833,"Generation X","Europe",NA,NA,NA
"Albania",1989,"Female","75+",0,37000,2335124988,833,"G.I. Generation","Europe",NA,NA,NA
"Albania",1989,"Male","5-14",0,349700,2335124988,833,"Generation X","Europe",NA,NA,NA
"Albania",1992,"Male","35-54",12,343800,709452584,251,"Boomers","Europe",0.797,0.558,0.506
"Albania",1992,"Male","15-24",9,263700,709452584,251,"Generation X","Europe",0.797,0.558,0.506
"Albania",1992,"Male","55-74",5,159500,709452584,251,"Silent","Europe",0.797,0.558,0.506
"Albania",1992,"Male","25-34",7,245500,709452584,251,"Boomers","Europe",0.797,0.558,0.506
"Albania",1992,"Female","15-24",7,292400,709452584,251,"Generation X","Europe",0.797,0.558,0.506
"Albania",1992,"Female","25-34",4,267400,709452584,251,"Boomers","Europe",0.797,0.558,0.506
"Albania",1992,"Female","35-54",2,323100,709452584,251,"Boomers","Europe",0.797,0.558,0.506
"Albania",1992,"Female","55-74",1,164900,709452584,251,"Silent","Europe",0.797,0.558,0.506
"Albania",1992,"Female","5-14",0,336700,709452584,251,"Millenials","Europe",0.797,0.558,0.506
"Albania",1992,"Female","75+",0,38700,709452584,251,"G.I. Generation","Europe",0.797,0.558,0.506
"Albania",1992,"Male","5-14",0,362900,709452584,251,"Millenials","Europe",0.797,0.558,0.506
"Albania",1992,"Male","75+",0,23900,709452584,251,"G.I. Generation","Europe",0.797,0.558,0.506
"Albania",1993,"Male","15-24",18,243300,1228071038,437,"Generation X","Europe",0.798,0.543,0.526
"Albania",1993,"Male","55-74",7,165000,1228071038,437,"Silent","Europe",0.798,0.543,0.526
"Albania",1993,"Male","75+",1,24200,1228071038,437,"G.I. Generation","Europe",0.798,0.543,0.526
"Albania",1993,"Male","25-34",9,230100,1228071038,437,"Boomers","Europe",0.798,0.543,0.526
"Albania",1993,"Female","15-24",10,285300,1228071038,437,"Generation X","Europe",0.798,0.543,0.526
"Albania",1993,"Male","35-54",10,350300,1228071038,437,"Boomers","Europe",0.798,0.543,0.526
"Albania",1993,"Female","25-34",7,261800,1228071038,437,"Boomers","Europe",0.798,0.543,0.526
"Albania",1993,"Female","35-54",7,331200,1228071038,437,"Boomers","Europe",0.798,0.543,0.526
"Albania",1993,"Female","55-74",2,169500,1228071038,437,"Silent","Europe",0.798,0.543,0.526
"Albania",1993,"Female","5-14",1,340300,1228071038,437,"Millenials","Europe",0.798,0.543,0.526
"Albania",1993,"Male","5-14",1,367000,1228071038,437,"Millenials","Europe",0.798,0.543,0.526
"Albania",1993,"Female","75+",0,39300,1228071038,437,"G.I. Generation","Europe",0.798,0.543,0.526
"Albania",1994,"Male","75+",2,24600,1985673798,697,"G.I. Generation","Europe",0.8,0.542,0.541
"Albania",1994,"Male","55-74",11,171400,1985673798,697,"Silent","Europe",0.8,0.542,0.541
"Albania",1994,"Female","75+",2,39900,1985673798,697,"G.I. Generation","Europe",0.8,0.542,0.541
"Albania",1994,"Male","25-34",6,231400,1985673798,697,"Boomers","Europe",0.8,0.542,0.541
"Albania",1994,"Male","35-54",9,362800,1985673798,697,"Boomers","Europe",0.8,0.542,0.541
"Albania",1994,"Male","15-24",6,242200,1985673798,697,"Generation X","Europe",0.8,0.542,0.541
"Albania",1994,"Female","15-24",6,282600,1985673798,697,"Generation X","Europe",0.8,0.542,0.541
"Albania",1994,"Female","25-34",4,261100,1985673798,697,"Boomers","Europe",0.8,0.542,0.541
"Albania",1994,"Female","35-54",2,342500,1985673798,697,"Boomers","Europe",0.8,0.542,0.541
"Albania",1994,"Female","55-74",1,174600,1985673798,697,"Silent","Europe",0.8,0.542,0.541
"Albania",1994,"Male","5-14",1,371800,1985673798,697,"Millenials","Europe",0.8,0.542,0.541
"Albania",1994,"Female","5-14",0,344400,1985673798,697,"Millenials","Europe",0.8,0.542,0.541
"Albania",1995,"Male","25-34",13,232900,2424499009,835,"Generation X","Europe",0.803,0.551,0.563
"Albania",1995,"Male","55-74",9,178000,2424499009,835,"Silent","Europe",0.803,0.551,0.563
"Albania",1995,"Female","75+",2,40800,2424499009,835,"G.I. Generation","Europe",0.803,0.551,0.563
"Albania",1995,"Female","15-24",13,283500,2424499009,835,"Generation X","Europe",0.803,0.551,0.563
"Albania",1995,"Male","15-24",11,241200,2424499009,835,"Generation X","Europe",0.803,0.551,0.563
"Albania",1995,"Male","75+",1,25100,2424499009,835,"G.I. Generation","Europe",0.803,0.551,0.563
"Albania",1995,"Male","35-54",14,375900,2424499009,835,"Boomers","Europe",0.803,0.551,0.563
"Albania",1995,"Female","25-34",7,264000,2424499009,835,"Generation X","Europe",0.803,0.551,0.563
"Albania",1995,"Female","35-54",8,356400,2424499009,835,"Boomers","Europe",0.803,0.551,0.563
"Albania",1995,"Male","5-14",6,376500,2424499009,835,"Millenials","Europe",0.803,0.551,0.563
"Albania",1995,"Female","55-74",2,180400,2424499009,835,"Silent","Europe",0.803,0.551,0.563
"Albania",1995,"Female","5-14",2,348700,2424499009,835,"Millenials","Europe",0.803,0.551,0.563
"Albania",1996,"Male","75+",2,25400,3314898292,1127,"G.I. Generation","Europe",0.808,0.558,0.578
"Albania",1996,"Male","15-24",17,243600,3314898292,1127,"Generation X","Europe",0.808,0.558,0.578
"Albania",1996,"Male","25-34",14,235300,3314898292,1127,"Generation X","Europe",0.808,0.558,0.578
"Albania",1996,"Female","15-24",16,287700,3314898292,1127,"Generation X","Europe",0.808,0.558,0.578
"Albania",1996,"Female","75+",2,41200,3314898292,1127,"G.I. Generation","Europe",0.808,0.558,0.578
"Albania",1996,"Female","25-34",10,267900,3314898292,1127,"Generation X","Europe",0.808,0.558,0.578
